"EntraIDOperationName","MicrosoftGraphRequestUri","RequestMethod","EntraIDOperationVersion"
"Authentication Strength Policy Delete","https://graph.microsoft.com/beta/identity/conditionalAccess/authenticationStrength/policies/<UUID>","DELETE","1.0"
"Authentication Strength Policy Delete","https://graph.microsoft.com/beta/internal/policies/authenticationStrengthPolicies/<UUID>","DELETE","1.0"
"Authentication Strength Policy Delete","https://graph.microsoft.com/beta/internal/policies/authenticationStrengthPolicies/<UUID>","PATCH","1.0"
"Authentication Strength Policy Update","https://graph.microsoft.com/beta/identity/conditionalAccess/authenticationStrength/policies/<UUID>","PATCH","1.0"
"Authentication Strength Policy Update","https://graph.microsoft.com/beta/identity/conditionalAccess/authenticationStrength/policies/<UUID>/updateAllowedCombinations","POST","1.0"
"Authentication Strength Policy Update","https://graph.microsoft.com/beta/internal/policies/authenticationStrengthPolicies/<UUID>","PATCH","1.0"
"Auto approve access package assignment request","https://graph.microsoft.com/beta/users/<UUID>/microsoft.graph.assignLicense","POST","1.0"
"Auto approve access package assignment request","https://graph.microsoft.com/beta/groups/<UUID>/members/$ref","POST","1.0"
"Auto approve access package assignment request","https://graph.microsoft.com/beta/groups/<UUID>/owners/$ref","POST","1.0"
"Auto approve access package assignment request","https://graph.microsoft.com/beta/roleManagement/directory/roleAssignments","POST","1.0"
"Auto approve access package assignment request","https://graph.microsoft.com/beta/users/<UUID>/appRoleAssignments","POST","1.0"
"Auto approve access package assignment request","https://graph.microsoft.com/beta/users/<UUID>/microsoft.graph.getMemberGroups","POST","1.0"
"Bulk Approve decisions","https://graph.microsoft.com/v1.0/users/<UUID>/microsoft.graph.getMemberGroups","POST","1.0"
"Bulk Deny decisions","https://graph.microsoft.com/v1.0/users/<UUID>/microsoft.graph.getMemberGroups","POST","1.0"
"Change password (self-service)","https://graph.microsoft.com/beta/directory/agreements/agreementId_<UUID>/acceptances/1_<UUID>_<UUID>_<UUID>","DELETE","1.0"
"Change password (self-service)","https://graph.microsoft.com/beta/directory/agreements/agreementId_<UUID>/acceptances","POST","1.0"
"ConfirmAccountCompromised","https://graph.microsoft.com/beta/riskyUsers/confirmCompromised","POST","1.0"
"ConfirmAccountCompromised","https://graph.microsoft.com/v1.0/identityProtection/riskyUsers/confirmCompromised","POST","1.0"
"ConfirmAccountSafe","https://graph.microsoft.com/beta/identityProtection/riskyUsers/confirmSafe","POST","1.0"
"confirmServicePrincipalCompromised","https://graph.microsoft.com/beta/identityProtection/riskyServicePrincipals/microsoft.graph.confirmCompromised","POST","1.0"
"Create access package","https://graph.microsoft.com/v1.0/directoryObjects/getByIds","POST","1.0"
"Create access package","https://graph.microsoft.com/beta/directoryObjects/getByIds","POST","1.0"
"Create access package assignment policy","https://graph.microsoft.com/beta/directoryObjects/getByIds","POST","1.0"
"Create access package assignment policy","https://graph.microsoft.com/v1.0/directoryObjects/getByIds","POST","1.0"
"Create access review","https://graph.microsoft.com/beta/identityGovernance/accessReviews/definitions","POST","1.0"
"Create business flow","https://graph.microsoft.com/v1.0/directoryObjects/getByIds","POST","1.0"
"Create business flow","https://graph.microsoft.com/beta/directoryObjects/getByIds","POST","1.0"
"Create request","https://graph.microsoft.com/beta/groups/<UUID>/members/$ref","POST","1.0"
"Create request","https://graph.microsoft.com/beta/users/<UUID>/microsoft.graph.getMemberGroups","POST","1.0"
"Create request","https://graph.microsoft.com/beta/users/<UUID>/appRoleAssignments","POST","1.0"
"Create request","https://graph.microsoft.com/beta/invitations","POST","1.0"
"Create request","https://graph.microsoft.com/beta/users/<UUID>","PATCH","1.0"
"Create resource request","https://graph.microsoft.com/beta/roleManagement/directory/checkAccess","POST","1.0"
"Create Terms Of Use","https://graph.microsoft.com/v1.0/agreements","POST","1.0"
"Create Terms Of Use","https://graph.microsoft.com/beta/directory/agreements/agreementId_<UUID>/PolicyFiles/<UUID>/content","PUT","1.0"
"Create Terms Of Use","https://graph.microsoft.com/beta/directory/agreements/agreementId_<UUID>/PolicyFiles","POST","1.0"
"Create Terms Of Use","https://graph.microsoft.com/beta/directory/agreements","POST","1.0"
"Delete access package assignment for a deleted user","https://graph.microsoft.com/v1.0/directoryObjects/getByIds","POST","1.0"
"Delete access package assignment for a deleted user","https://graph.microsoft.com/beta/directoryObjects/getByIds","POST","1.0"
"Delete access package assignment request for a deleted user","https://graph.microsoft.com/beta/directoryObjects/getByIds","POST","1.0"
